symptoms,disease,treatment,medicines,prevention,severity,age_group,consultation_needed,specialist_required,confidence_score,symptom_count
"I have been having sneezing, runny nose, nasal congestion, cough, fatigue for a few days",Common Cold,Saline nasal rinse | Rest | Throat lozenges | Use humidifier,Dextromethorphan 15mg | Paracetamol 500mg | Zinc lozenges 10mg,Wash hands frequently | Get adequate sleep | Boost immune system,Severe,Adult,routine,General Practitioner,90,5
"I am experiencing headache, sneezing, sore throat, mild fever, cough",Common Cold,Saline nasal rinse | Over-the-counter pain relievers | Use humidifier | Increase fluid intake,Ibuprofen 400mg | Zinc lozenges 10mg | Dextromethorphan 15mg,Wash hands frequently | Get adequate sleep | Avoid close contact with infected people,Severe,Elderly,routine,General Practitioner,93,5
"I've noticed mild fever, headache, runny nose, sore throat recently",Common Cold,Over-the-counter pain relievers | Rest | Use humidifier | Saline nasal rinse,Zinc lozenges 10mg | Pseudoephedrine 60mg | Dextromethorphan 15mg,Avoid close contact with infected people | Boost immune system | Wash hands frequently,Moderate,Adult,routine,General Practitioner,86,4
"I feel sneezing, headache, fatigue, runny nose",Common Cold,Over-the-counter pain relievers | Use humidifier | Increase fluid intake | Saline nasal rinse,Pseudoephedrine 60mg | Ibuprofen 400mg | Zinc lozenges 10mg,Boost immune system | Get adequate sleep | Wash hands frequently,Moderate,Adult,routine,General Practitioner,90,4
"I've noticed fatigue, sore throat, cough recently",Common Cold,Saline nasal rinse | Use humidifier | Rest | Over-the-counter pain relievers,Paracetamol 500mg | Pseudoephedrine 60mg | Ibuprofen 400mg,Boost immune system | Wash hands frequently | Get adequate sleep,Moderate,Adult,routine,General Practitioner,90,3
"I'm suffering from fatigue, sore throat, nasal congestion, headache, sneezing",Common Cold,Increase fluid intake | Throat lozenges | Use humidifier | Over-the-counter pain relievers,Zinc lozenges 10mg | Dextromethorphan 15mg | Pseudoephedrine 60mg,Get adequate sleep | Avoid close contact with infected people | Wash hands frequently,Severe,All Ages,routine,General Practitioner,94,5
"I have been having runny nose, headache, fatigue for a few days",Common Cold,Increase fluid intake | Over-the-counter pain relievers | Rest | Saline nasal rinse,Dextromethorphan 15mg | Zinc lozenges 10mg | Pseudoephedrine 60mg,Boost immune system | Get adequate sleep | Wash hands frequently,Moderate,Elderly,routine,General Practitioner,83,3
"I feel nasal congestion, runny nose, cough, sore throat, sneezing",Common Cold,Saline nasal rinse | Use humidifier | Increase fluid intake | Throat lozenges,Paracetamol 500mg | Pseudoephedrine 60mg | Dextromethorphan 15mg,Avoid close contact with infected people | Wash hands frequently | Get adequate sleep,Moderate,Child,routine,General Practitioner,95,5
"I'm suffering from nasal congestion, sore throat, runny nose, fatigue, cough",Common Cold,Rest | Increase fluid intake | Saline nasal rinse | Over-the-counter pain relievers,Dextromethorphan 15mg | Paracetamol 500mg | Pseudoephedrine 60mg,Avoid close contact with infected people | Wash hands frequently | Get adequate sleep,Severe,Elderly,routine,General Practitioner,95,5
"I feel headache, sneezing, mild fever, fatigue, cough",Common Cold,Saline nasal rinse | Use humidifier | Over-the-counter pain relievers | Throat lozenges,Dextromethorphan 15mg | Paracetamol 500mg | Zinc lozenges 10mg,Avoid close contact with infected people | Wash hands frequently | Get adequate sleep,Severe,Adult,routine,General Practitioner,90,5
"I am experiencing sore throat, runny nose, headache, nasal congestion, sneezing",Common Cold,Use humidifier | Rest | Increase fluid intake | Over-the-counter pain relievers,Dextromethorphan 15mg | Ibuprofen 400mg | Pseudoephedrine 60mg,Avoid close contact with infected people | Boost immune system | Get adequate sleep,Moderate,All Ages,routine,General Practitioner,95,5
